File: main
Type: cpu
Time: 2026-01-09 09:00:21 +03
Duration: 58.87s, Total samples = 3.67s ( 6.23%)
Showing nodes accounting for 3.55s, 96.73% of 3.67s total
Dropped 43 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
         0     0% 96.73%      1.32s 35.97%  runtime.findRunnable
         0     0% 96.73%      0.12s  3.27%  runtime.gcBgMarkWorker
         0     0% 96.73%      0.17s  4.63%  runtime.gcBgMarkWorker.func2
         0     0% 96.73%      0.17s  4.63%  runtime.gcDrain
         0     0% 96.73%      0.03s  0.82%  runtime.gcDrainMarkWorkerDedicated
         0     0% 96.73%      0.14s  3.81%  runtime.gcDrainMarkWorkerIdle
         0     0% 96.73%      0.02s  0.54%  runtime.mPark
         0     0% 96.73%      0.04s  1.09%  runtime.mallocgc
         0     0% 96.73%      0.03s  0.82%  runtime.mallocgcSmallScanNoHeader
         0     0% 96.73%      1.34s 36.51%  runtime.mcall
         0     0% 96.73%      1.32s 35.97%  runtime.netpoll
         0     0% 96.73%      0.04s  1.09%  runtime.newobject
         0     0% 96.73%      0.02s  0.54%  runtime.notesleep
         0     0% 96.73%      1.34s 36.51%  runtime.park_m
         0     0% 96.73%      0.02s  0.54%  runtime.pollWork
         0     0% 96.73%      0.03s  0.82%  runtime.preemptM
         0     0% 96.73%      0.03s  0.82%  runtime.preemptone
         0     0% 96.73%      1.33s 36.24%  runtime.schedule
         0     0% 96.73%      0.02s  0.54%  runtime.semasleep
         0     0% 96.73%      0.03s  0.82%  runtime.signalM
         0     0% 96.73%      0.02s  0.54%  runtime.stopm
         0     0% 96.73%      0.12s  3.27%  runtime.sysUsed
         0     0% 96.73%      0.12s  3.27%  runtime.sysUsedOS
         0     0% 96.73%      0.30s  8.17%  runtime.systemstack
         0     0% 96.73%      1.85s 50.41%  syscall.Read
         0     0% 96.73%      1.85s 50.41%  syscall.read
