File: main
Type: cpu
Time: 2026-01-08 18:54:42 +03
Duration: 42.74s, Total samples = 3.26s ( 7.63%)
Showing nodes accounting for 3.16s, 96.93% of 3.26s total
Dropped 49 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
         0     0% 96.93%      0.04s  1.23%  runtime.(*mcache).nextFree
         0     0% 96.93%      0.04s  1.23%  runtime.(*mcache).refill
         0     0% 96.93%      0.04s  1.23%  runtime.(*mcentral).cacheSpan
         0     0% 96.93%      0.03s  0.92%  runtime.(*mcentral).grow
         0     0% 96.93%      0.08s  2.45%  runtime.(*mheap).alloc.func1
         0     0% 96.93%      0.08s  2.45%  runtime.(*mheap).allocSpan
         0     0% 96.93%      0.03s  0.92%  runtime.(*mspan).initHeapBits
         0     0% 96.93%      0.02s  0.61%  runtime.concatstring2
         0     0% 96.93%      0.02s  0.61%  runtime.concatstrings
         0     0% 96.93%      1.03s 31.60%  runtime.findRunnable
         0     0% 96.93%      0.17s  5.21%  runtime.gcBgMarkWorker
         0     0% 96.93%      0.19s  5.83%  runtime.gcBgMarkWorker.func2
         0     0% 96.93%      0.19s  5.83%  runtime.gcDrain
         0     0% 96.93%      0.06s  1.84%  runtime.gcDrainMarkWorkerDedicated
         0     0% 96.93%      0.13s  3.99%  runtime.gcDrainMarkWorkerIdle
         0     0% 96.93%      0.02s  0.61%  runtime.greyobject
         0     0% 96.93%      0.03s  0.92%  runtime.growslice
         0     0% 96.93%      0.04s  1.23%  runtime.lock
         0     0% 96.93%      0.04s  1.23%  runtime.lock2
         0     0% 96.93%      0.04s  1.23%  runtime.lockWithRank
         0     0% 96.93%      0.04s  1.23%  runtime.mPark
         0     0% 96.93%      0.03s  0.92%  runtime.mProf_Malloc
         0     0% 96.93%      0.02s  0.61%  runtime.makeslice
         0     0% 96.93%      0.02s  0.61%  runtime.mallocgcSmallScanHeader
         0     0% 96.93%      0.06s  1.84%  runtime.mallocgcSmallScanNoHeader
         0     0% 96.93%      0.02s  0.61%  runtime.mapassign_faststr
         0     0% 96.93%      1.03s 31.60%  runtime.mcall
         0     0% 96.93%      0.96s 29.45%  runtime.netpoll
         0     0% 96.93%      0.02s  0.61%  runtime.newarray
         0     0% 96.93%      0.06s  1.84%  runtime.newobject
         0     0% 96.93%      0.04s  1.23%  runtime.notesleep
         0     0% 96.93%      0.04s  1.23%  runtime.osyield
         0     0% 96.93%      1.03s 31.60%  runtime.park_m
         0     0% 96.93%      0.02s  0.61%  runtime.preemptM
         0     0% 96.93%      0.02s  0.61%  runtime.preemptone
         0     0% 96.93%      0.03s  0.92%  runtime.profilealloc
         0     0% 96.93%      1.04s 31.90%  runtime.schedule
         0     0% 96.93%      0.04s  1.23%  runtime.semasleep
         0     0% 96.93%      0.02s  0.61%  runtime.signalM
         0     0% 96.93%      0.03s  0.92%  runtime.stkbucket
         0     0% 96.93%      0.04s  1.23%  runtime.stopm
         0     0% 96.93%      0.08s  2.45%  runtime.sysUsed
         0     0% 96.93%      0.08s  2.45%  runtime.sysUsedOS
         0     0% 96.93%      0.29s  8.90%  runtime.systemstack
         0     0% 96.93%      0.02s  0.61%  strings.(*Builder).WriteString
         0     0% 96.93%      0.02s  0.61%  strings.Join
         0     0% 96.93%      1.67s 51.23%  syscall.Read
         0     0% 96.93%      1.67s 51.23%  syscall.read
